消火栓名,消火栓名(英語),消火栓分類,消防団,管理番号,都道府県名,市区町村名,行政区名,住所,対象範囲の直径(m),配水管口径(mm),貯水量(t),緯度,経度,分離器（有、無）,標準地域コード
消火栓,,消火栓,鯖江第1分団,1,福井県,鯖江市,,小黒町1丁目9-27,120,300,,35.9560151333,136.1758681194,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,2,福井県,鯖江市,,小黒町1丁目14-14-1,120,100,,35.9560448167,136.1765838611,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,3,福井県,鯖江市,,小黒町1丁目14-8,120,100,,35.9550363556,136.1770060806,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,4,福井県,鯖江市,,小黒町3丁目12-11,120,100,,35.9546217028,136.1758177028,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,5,福井県,鯖江市,,小黒町1丁目8-17,120,100,,35.9537835361,136.1774959139,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,6,福井県,鯖江市,,小黒町1丁目10,120,300,,35.9525937056,136.1760468917,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,7,福井県,鯖江市,,小黒町1丁目8-8,120,100,,35.9527725306,136.1778718778,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,8,福井県,鯖江市,,小黒町1丁目2-11,120,100,,35.9506787333,136.1789568306,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,9,福井県,鯖江市,,小黒町1丁目3-52-1,120,100,,35.9497026083,136.1795133028,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,10,福井県,鯖江市,,小黒町1丁目5-2,100,75,,35.9501100778,136.1773991639,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,11,福井県,鯖江市,,小黒町2丁目6-1,120,100,,35.9510342778,136.1754331222,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,12,福井県,鯖江市,,小黒町2丁目4-2,120,100,,35.9501438528,136.1755801417,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,13,福井県,鯖江市,,小黒町2丁目9-18,120,75,,35.9499620333,136.1746101694,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,14,福井県,鯖江市,,小黒町1丁目3-24,120,300,,35.9493890472,136.1762334639,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,15,福井県,鯖江市,,有定町3丁目7-14,120,100,,35.9489625778,136.1735602778,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,16,福井県,鯖江市,,有定町3丁目6-20,120,100,,35.9486347167,136.1749642944,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,17,福井県,鯖江市,,桜町2丁目7-26,120,75,,35.9485485806,136.1790970333,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,18,福井県,鯖江市,,有定町3丁目2-26,120,100,,35.9482297028,136.176971225,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,19,福井県,鯖江市,,有定町3丁目2-9,120,75,,35.9478465111,136.1763321389,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,20,福井県,鯖江市,,有定町3丁目6-12,120,100,,35.947799625,136.174372775,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,21,福井県,鯖江市,,有定町3丁目5-55,120,200,,35.9475875722,136.1755921361,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,22,福井県,鯖江市,,桜町2丁目8-16,120,150,,35.9469332,136.1789065278,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,23,福井県,鯖江市,,桜町2丁目9-9,120,300,,35.9487296056,136.1802094306,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,24,福井県,鯖江市,,桜町2丁目3-61,120,75,,35.9469971,136.1805910222,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,25,福井県,鯖江市,,桜町2丁目9-10,120,150,,35.9452533556,136.1789100722,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,26,福井県,鯖江市,,有定町1丁目6-27,120,150,,35.9442750444,136.1789401306,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,27,福井県,鯖江市,,有定町1丁目3-26,120,100,,35.9461336083,136.1770573528,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,28,福井県,鯖江市,,有定町1丁目6-14,120,75,,35.9446405639,136.1771469194,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,29,福井県,鯖江市,,有定町1丁目10-8,120,100,,35.9465392667,136.1763949778,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,30,福井県,鯖江市,,有定町2丁目3-20,120,75,,35.9459333972,136.1762827972,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,31,福井県,鯖江市,,有定町1丁目8-8,120,100,,35.9447044528,136.1764838028,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,32,福井県,鯖江市,,有定町2丁目11-24,120,100,,35.9467669028,136.1750620583,無,http://statdb.nstac.go.jp/lod/sac/C18207
